series,bin_center_m,density_raw,density_smoothed
BEVMapMatch-BEVFusion,1.225,0.4058192956,0.4452728003
BEVMapMatch-BEVFusion,1.275,0.3445635528,0.3642850375
BEVMapMatch-BEVFusion,1.325,0.3215926493,0.3195982350
BEVMapMatch-BEVFusion,1.375,0.2526799387,0.3037380877
BEVMapMatch-BEVFusion,1.425,0.3981623277,0.2836887285
BEVMapMatch-BEVFusion,1.475,0.1378254211,0.2262363547
BEVMapMatch-BEVFusion,1.525,0.1914241960,0.1985603250
BEVMapMatch-BEVFusion,1.575,0.2373660031,0.1968015216
BEVMapMatch-BEVFusion,1.625,0.1454823890,0.1820429805
BEVMapMatch-BEVFusion,1.675,0.1990811639,0.1647846002
BEVMapMatch-BEVFusion,1.725,0.1301684533,0.1349628990
BEVMapMatch-BEVFusion,1.775,0.0842266462,0.1060191656
BEVMapMatch-BEVFusion,1.825,0.0918836141,0.0998737116
BEVMapMatch-BEVFusion,1.875,0.1301684533,0.0989255720
BEVMapMatch-BEVFusion,1.925,0.0535987749,0.0918796100
BEVMapMatch-BEVFusion,1.975,0.1148545176,0.0966675130
BEVMapMatch-BEVFusion,2.025,0.0995405819,0.1038937595
BEVMapMatch-BEVFusion,2.075,0.1071975498,0.1073689882
BEVMapMatch-BEVFusion,2.125,0.1225114855,0.1028651177
BEVMapMatch-BEVFusion,2.175,0.0765696784,0.0852572336
BEVMapMatch-BEVFusion,2.225,0.0612557427,0.0703273479
BEVMapMatch-BEVFusion,2.275,0.0689127106,0.0653759019
BEVMapMatch-BEVFusion,2.325,0.0612557427,0.0627973185
BEVMapMatch-BEVFusion,2.375,0.0612557427,0.0601616297
BEVMapMatch-BEVFusion,2.425,0.0535987749,0.0592943406
BEVMapMatch-BEVFusion,2.475,0.0689127106,0.0591989297
BEVMapMatch-BEVFusion,2.525,0.0459418070,0.0587494085
BEVMapMatch-BEVFusion,2.575,0.0689127106,0.0615630688
BEVMapMatch-BEVFusion,2.625,0.0689127106,0.0593302299
BEVMapMatch-BEVFusion,2.675,0.0382848392,0.0515738471
BEVMapMatch-BEVFusion,2.725,0.0535987749,0.0489339094
BEVMapMatch-BEVFusion,2.775,0.0459418070,0.0497841091
BEVMapMatch-BEVFusion,2.825,0.0535987749,0.0516436801
BEVMapMatch-BEVFusion,2.875,0.0535987749,0.0527717369
BEVMapMatch-BEVFusion,2.925,0.0535987749,0.0516097364
BEVMapMatch-BEVFusion,2.975,0.0459418070,0.0492348153
BEVMapMatch-BEVFusion,3.025,0.0535987749,0.0454605135
BEVMapMatch-BEVFusion,3.075,0.0306278714,0.0415187965
BEVMapMatch-BEVFusion,3.125,0.0382848392,0.0469384507
BEVMapMatch-BEVFusion,3.175,0.0765696784,0.0545886406
BEVMapMatch-BEVFusion,3.225,0.0459418070,0.0479263708
BEVMapMatch-BEVFusion,3.275,0.0306278714,0.0359250619
BEVMapMatch-BEVFusion,3.325,0.0229709035,0.0335501407
